month,commodity,state,district,unit,min_price,max_price,modal_price
2023-09,Tomato,Maharashtra,Pune,Quintal,1328.0,1690.0,1509.0
2023-09,Tomato,Maharashtra,Ahmednagar,Quintal,1522.0,1936.0,1729.0
2023-09,Tomato,Maharashtra,Jalgaon,Quintal,1402.0,1784.0,1593.0
2023-09,Wheat,Maharashtra,Nashik,Quintal,2005.0,2551.0,2278.0
2023-09,Wheat,Maharashtra,Pune,Quintal,2073.0,2639.0,2356.0
2023-09,Wheat,Maharashtra,Ahmednagar,Quintal,1968.0,2504.0,2236.0
2023-09,Wheat,Maharashtra,Jalgaon,Quintal,1993.0,2537.0,2265.0
2023-09,Fodder,Maharashtra,Nashik,Quintal,322.0,410.0,366.0
2023-09,Fodder,Maharashtra,Pune,Quintal,308.0,392.0,350.0
2023-09,Fodder,Maharashtra,Ahmednagar,Quintal,309.0,393.0,351.0
2023-09,Fodder,Maharashtra,Jalgaon,Quintal,294.0,374.0,334.0
2023-09,Poultry,Maharashtra,Nashik,Kg,80.0,102.0,91.0
2023-09,Poultry,Maharashtra,Pune,Kg,79.0,101.0,90.0
2023-09,Poultry,Maharashtra,Ahmednagar,Kg,77.0,99.0,88.0
2023-09,Poultry,Maharashtra,Jalgaon,Kg,86.0,110.0,98.0
2023-09,MilkCow,Maharashtra,Nashik,Litre,34.0,44.0,39.0
2023-09,MilkCow,Maharashtra,Pune,Litre,33.0,41.0,37.0
2023-09,MilkCow,Maharashtra,Ahmednagar,Litre,33.0,43.0,38.0
2023-09,MilkCow,Maharashtra,Jalgaon,Litre,33.0,43.0,38.0
2023-10,Maize,Maharashtra,Nashik,Quintal,1991.0,2533.0,2262.0
2023-10,Maize,Maharashtra,Pune,Quintal,1930.0,2456.0,2193.0
2023-10,Maize,Maharashtra,Ahmednagar,Quintal,2086.0,2656.0,2371.0
2023-10,Maize,Maharashtra,Jalgaon,Quintal,2025.0,2577.0,2301.0
2023-10,Soybean,Maharashtra,Nashik,Quintal,4238.0,5394.0,4816.0
2023-10,Soybean,Maharashtra,Pune,Quintal,4247.0,5405.0,4826.0
2023-10,Soybean,Maharashtra,Ahmednagar,Quintal,4561.0,5805.0,5183.0
2023-10,Soybean,Maharashtra,Jalgaon,Quintal,4600.0,5854.0,5227.0
2023-10,Onion,Maharashtra,Nashik,Quintal,1700.0,2164.0,1932.0
2023-10,Onion,Maharashtra,Pune,Quintal,1710.0,2176.0,1943.0
2023-10,Onion,Maharashtra,Ahmednagar,Quintal,1783.0,2269.0,2026.0
2023-10,Onion,Maharashtra,Jalgaon,Quintal,1542.0,1962.0,1752.0
2023-10,Tomato,Maharashtra,Nashik,Quintal,1642.0,2090.0,1866.0
2023-10,Tomato,Maharashtra,Pune,Quintal,1393.0,1773.0,1583.0
2023-10,Tomato,Maharashtra,Ahmednagar,Quintal,1374.0,1748.0,1561.0
2023-10,Tomato,Maharashtra,Jalgaon,Quintal,1712.0,2180.0,1946.0
2023-10,Wheat,Maharashtra,Nashik,Quintal,2099.0,2671.0,2385.0
2023-10,Wheat,Maharashtra,Pune,Quintal,2076.0,2642.0,2359.0
2023-10,Wheat,Maharashtra,Ahmednagar,Quintal,2072.0,2636.0,2354.0
2023-10,Wheat,Maharashtra,Jalgaon,Quintal,2032.0,2586.0,2309.0
2023-10,Fodder,Maharashtra,Nashik,Quintal,330.0,420.0,375.0
2023-10,Fodder,Maharashtra,Pune,Quintal,328.0,418.0,373.0
2023-10,Fodder,Maharashtra,Ahmednagar,Quintal,323.0,411.0,367.0
2023-10,Fodder,Maharashtra,Jalgaon,Quintal,326.0,414.0,370.0
2023-10,Poultry,Maharashtra,Nashik,Kg,88.0,112.0,100.0
2023-10,Poultry,Maharashtra,Pune,Kg,94.0,120.0,107.0
2023-10,Poultry,Maharashtra,Ahmednagar,Kg,84.0,108.0,96.0
2023-10,Poultry,Maharashtra,Jalgaon,Kg,88.0,112.0,100.0
2023-10,MilkCow,Maharashtra,Nashik,Litre,35.0,45.0,40.0
2023-10,MilkCow,Maharashtra,Pune,Litre,36.0,46.0,41.0
2023-10,MilkCow,Maharashtra,Ahmednagar,Litre,36.0,46.0,41.0
2023-10,MilkCow,Maharashtra,Jalgaon,Litre,35.0,45.0,40.0
2023-11,Maize,Maharashtra,Nashik,Quintal,2096.0,2668.0,2382.0
2023-11,Maize,Maharashtra,Pune,Quintal,2078.0,2644.0,2361.0
2023-11,Maize,Maharashtra,Ahmednagar,Quintal,1954.0,2488.0,2221.0
2023-11,Maize,Maharashtra,Jalgaon,Quintal,2099.0,2671.0,2385.0
2023-11,Soybean,Maharashtra,Nashik,Quintal,4001.0,5093.0,4547.0
2023-11,Soybean,Maharashtra,Pune,Quintal,4405.0,5607.0,5006.0
2023-11,Soybean,Maharashtra,Ahmednagar,Quintal,4471.0,5691.0,5081.0
2023-11,Soybean,Maharashtra,Jalgaon,Quintal,4286.0,5456.0,4871.0
2023-11,Onion,Maharashtra,Nashik,Quintal,1642.0,2090.0,1866.0
2023-11,Onion,Maharashtra,Pune,Quintal,1984.0,2526.0,2255.0
2023-11,Onion,Maharashtra,Ahmednagar,Quintal,1986.0,2528.0,2257.0
2023-11,Onion,Maharashtra,Jalgaon,Quintal,1903.0,2421.0,2162.0
2023-11,Tomato,Maharashtra,Nashik,Quintal,1377.0,1753.0,1565.0
2023-11,Tomato,Maharashtra,Pune,Quintal,1030.0,1310.0,1170.0
2023-11,Tomato,Maharashtra,Ahmednagar,Quintal,1199.0,1525.0,1362.0
2023-11,Tomato,Maharashtra,Jalgaon,Quintal,1393.0,1773.0,1583.0
2023-11,Wheat,Maharashtra,Nashik,Quintal,2047.0,2605.0,2326.0
2023-11,Wheat,Maharashtra,Pune,Quintal,2157.0,2745.0,2451.0
2023-11,Wheat,Maharashtra,Ahmednagar,Quintal,2100.0,2672.0,2386.0
2023-11,Wheat,Maharashtra,Jalgaon,Quintal,2106.0,2680.0,2393.0
2023-11,Fodder,Maharashtra,Nashik,Quintal,310.0,394.0,352.0
2023-11,Fodder,Maharashtra,Pune,Quintal,309.0,393.0,351.0
2023-11,Fodder,Maharashtra,Ahmednagar,Quintal,328.0,418.0,373.0
2023-11,Fodder,Maharashtra,Jalgaon,Quintal,340.0,432.0,386.0
2023-11,Poultry,Maharashtra,Nashik,Kg,83.0,105.0,94.0
2023-11,Poultry,Maharashtra,Pune,Kg,92.0,118.0,105.0
2023-11,Poultry,Maharashtra,Ahmednagar,Kg,84.0,108.0,96.0
2023-11,Poultry,Maharashtra,Jalgaon,Kg,90.0,114.0,102.0
2023-11,MilkCow,Maharashtra,Nashik,Litre,36.0,46.0,41.0
2023-11,MilkCow,Maharashtra,Pune,Litre,37.0,47.0,42.0
2023-11,MilkCow,Maharashtra,Ahmednagar,Litre,36.0,46.0,41.0
2023-11,MilkCow,Maharashtra,Jalgaon,Litre,36.0,46.0,41.0
2023-12,Maize,Maharashtra,Nashik,Quintal,1919.0,2443.0,2181.0
2023-12,Maize,Maharashtra,Pune,Quintal,1958.0,2492.0,2225.0
2023-12,Maize,Maharashtra,Ahmednagar,Quintal,2022.0,2574.0,2298.0
2023-12,Maize,Maharashtra,Jalgaon,Quintal,2067.0,2631.0,2349.0
2023-12,Soybean,Maharashtra,Nashik,Quintal,4593.0,5845.0,5219.0
2023-12,Soybean,Maharashtra,Pune,Quintal,4279.0,5445.0,4862.0
2023-12,Soybean,Maharashtra,Ahmednagar,Quintal,4435.0,5645.0,5040.0
2023-12,Soybean,Maharashtra,Jalgaon,Quintal,4034.0,5134.0,4584.0
2023-12,Onion,Maharashtra,Nashik,Quintal,1491.0,1897.0,1694.0
2023-12,Onion,Maharashtra,Pune,Quintal,1735.0,2209.0,1972.0
2023-12,Onion,Maharashtra,Ahmednagar,Quintal,1984.0,2524.0,2254.0
2023-12,Onion,Maharashtra,Jalgaon,Quintal,1929.0,2455.0,2192.0
2023-12,Tomato,Maharashtra,Nashik,Quintal,1401.0,1783.0,1592.0
2023-12,Tomato,Maharashtra,Pune,Quintal,1049.0,1335.0,1192.0
2023-12,Tomato,Maharashtra,Ahmednagar,Quintal,1538.0,1958.0,1748.0
2023-12,Tomato,Maharashtra,Jalgaon,Quintal,1762.0,2242.0,2002.0
2023-12,Wheat,Maharashtra,Nashik,Quintal,2167.0,2757.0,2462.0
2023-12,Wheat,Maharashtra,Pune,Quintal,2189.0,2787.0,2488.0
2023-12,Wheat,Maharashtra,Ahmednagar,Quintal,2086.0,2654.0,2370.0
2023-12,Wheat,Maharashtra,Jalgaon,Quintal,2104.0,2678.0,2391.0
2023-12,Fodder,Maharashtra,Nashik,Quintal,336.0,428.0,382.0
2023-12,Fodder,Maharashtra,Pune,Quintal,326.0,416.0,371.0
2023-12,Fodder,Maharashtra,Ahmednagar,Quintal,316.0,402.0,359.0
2023-12,Fodder,Maharashtra,Jalgaon,Quintal,310.0,394.0,352.0
2023-12,Poultry,Maharashtra,Nashik,Kg,83.0,105.0,94.0
2023-12,Poultry,Maharashtra,Pune,Kg,94.0,120.0,107.0
2023-12,Poultry,Maharashtra,Ahmednagar,Kg,82.0,104.0,93.0
2023-12,Poultry,Maharashtra,Jalgaon,Kg,86.0,110.0,98.0
2023-12,MilkCow,Maharashtra,Nashik,Litre,35.0,45.0,40.0
2023-12,MilkCow,Maharashtra,Pune,Litre,36.0,46.0,41.0
2023-12,MilkCow,Maharashtra,Ahmednagar,Litre,34.0,44.0,39.0
2023-12,MilkCow,Maharashtra,Jalgaon,Litre,35.0,45.0,40.0
2024-01,Maize,Maharashtra,Nashik,Quintal,1872.0,2382.0,2127.0
2024-01,Maize,Maharashtra,Pune,Quintal,1866.0,2374.0,2120.0
2024-01,Maize,Maharashtra,Ahmednagar,Quintal,1871.0,2381.0,2126.0
2024-01,Maize,Maharashtra,Jalgaon,Quintal,1824.0,2322.0,2073.0
2024-01,Soybean,Maharashtra,Nashik,Quintal,4382.0,5578.0,4980.0
2024-01,Soybean,Maharashtra,Pune,Quintal,4135.0,5263.0,4699.0
2024-01,Soybean,Maharashtra,Ahmednagar,Quintal,4288.0,5458.0,4873.0
2024-01,Soybean,Maharashtra,Jalgaon,Quintal,3862.0,4916.0,4389.0
2024-01,Onion,Maharashtra,Nashik,Quintal,1612.0,2052.0,1832.0
2024-01,Onion,Maharashtra,Pune,Quintal,1558.0,1982.0,1770.0
2024-01,Onion,Maharashtra,Ahmednagar,Quintal,1495.0,1903.0,1699.0
2024-01,Onion,Maharashtra,Jalgaon,Quintal,1662.0,2116.0,1889.0
2024-01,Tomato,Maharashtra,Nashik,Quintal,1476.0,1878.0,1677.0
2024-01,Tomato,Maharashtra,Pune,Quintal,989.0,1259.0,1124.0
2024-01,Tomato,Maharashtra,Ahmednagar,Quintal,1252.0,1594.0,1423.0
2024-01,Tomato,Maharashtra,Jalgaon,Quintal,1089.0,1387.0,1238.0
2024-01,Wheat,Maharashtra,Nashik,Quintal,2090.0,2660.0,2375.0
2024-01,Wheat,Maharashtra,Pune,Quintal,1948.0,2480.0,2214.0
2024-01,Wheat,Maharashtra,Ahmednagar,Quintal,2029.0,2583.0,2306.0
2024-01,Wheat,Maharashtra,Jalgaon,Quintal,2077.0,2643.0,2360.0
2024-01,Fodder,Maharashtra,Nashik,Quintal,310.0,394.0,352.0
2024-01,Fodder,Maharashtra,Pune,Quintal,319.0,407.0,363.0
2024-01,Fodder,Maharashtra,Ahmednagar,Quintal,301.0,383.0,342.0
2024-01,Fodder,Maharashtra,Jalgaon,Quintal,318.0,404.0,361.0
2024-01,Poultry,Maharashtra,Nashik,Kg,90.0,114.0,102.0
2024-01,Poultry,Maharashtra,Pune,Kg,79.0,101.0,90.0
2024-01,Poultry,Maharashtra,Ahmednagar,Kg,84.0,108.0,96.0
2024-01,Poultry,Maharashtra,Jalgaon,Kg,88.0,112.0,100.0
2024-01,MilkCow,Maharashtra,Nashik,Litre,33.0,43.0,38.0
2024-01,MilkCow,Maharashtra,Pune,Litre,35.0,45.0,40.0
2024-01,MilkCow,Maharashtra,Ahmednagar,Litre,33.0,41.0,37.0
2024-01,MilkCow,Maharashtra,Jalgaon,Litre,34.0,44.0,39.0
2024-02,Maize,Maharashtra,Nashik,Quintal,1889.0,2405.0,2147.0
2024-02,Maize,Maharashtra,Pune,Quintal,1897.0,2415.0,2156.0
2024-02,Maize,Maharashtra,Ahmednagar,Quintal,1895.0,2411.0,2153.0
2024-02,Maize,Maharashtra,Jalgaon,Quintal,1818.0,2314.0,2066.0
2024-02,Soybean,Maharashtra,Nashik,Quintal,3969.0,5051.0,4510.0
2024-02,Soybean,Maharashtra,Pune,Quintal,3994.0,5084.0,4539.0
2024-02,Soybean,Maharashtra,Ahmednagar,Quintal,3942.0,5016.0,4479.0
2024-02,Soybean,Maharashtra,Jalgaon,Quintal,4095.0,5211.0,4653.0
2024-02,Onion,Maharashtra,Nashik,Quintal,1783.0,2269.0,2026.0
2024-02,Onion,Maharashtra,Pune,Quintal,1549.0,1971.0,1760.0
2024-02,Onion,Maharashtra,Ahmednagar,Quintal,1582.0,2014.0,1798.0
2024-02,Onion,Maharashtra,Jalgaon,Quintal,1492.0,1898.0,1695.0
2024-02,Tomato,Maharashtra,Nashik,Quintal,1322.0,1682.0,1502.0
2024-02,Tomato,Maharashtra,Pune,Quintal,1031.0,1313.0,1172.0
2024-02,Tomato,Maharashtra,Ahmednagar,Quintal,1573.0,2003.0,1788.0
2024-02,Tomato,Maharashtra,Jalgaon,Quintal,1573.0,2003.0,1788.0
2024-02,Wheat,Maharashtra,Nashik,Quintal,2078.0,2644.0,2361.0
2024-02,Wheat,Maharashtra,Pune,Quintal,2082.0,2650.0,2366.0
2024-02,Wheat,Maharashtra,Ahmednagar,Quintal,1983.0,2523.0,2253.0
2024-02,Wheat,Maharashtra,Jalgaon,Quintal,2100.0,2672.0,2386.0
2024-02,Fodder,Maharashtra,Nashik,Quintal,324.0,412.0,368.0
2024-02,Fodder,Maharashtra,Pune,Quintal,316.0,402.0,359.0
2024-02,Fodder,Maharashtra,Ahmednagar,Quintal,309.0,393.0,351.0
2024-02,Fodder,Maharashtra,Jalgaon,Quintal,320.0,408.0,364.0
2024-02,Poultry,Maharashtra,Nashik,Kg,90.0,114.0,102.0
2024-02,Poultry,Maharashtra,Pune,Kg,87.0,111.0,99.0
2024-02,Poultry,Maharashtra,Ahmednagar,Kg,91.0,115.0,103.0
2024-02,Poultry,Maharashtra,Jalgaon,Kg,83.0,105.0,94.0
2024-02,MilkCow,Maharashtra,Nashik,Litre,33.0,41.0,37.0
2024-02,MilkCow,Maharashtra,Pune,Litre,34.0,44.0,39.0
2024-02,MilkCow,Maharashtra,Ahmednagar,Litre,34.0,44.0,39.0
2024-02,MilkCow,Maharashtra,Jalgaon,Litre,34.0,44.0,39.0
2024-03,Maize,Maharashtra,Nashik,Quintal,1829.0,2327.0,2078.0
2024-03,Maize,Maharashtra,Pune,Quintal,1969.0,2505.0,2237.0
2024-03,Maize,Maharashtra,Ahmednagar,Quintal,1932.0,2458.0,2195.0
2024-03,Maize,Maharashtra,Jalgaon,Quintal,1934.0,2462.0,2198.0
2024-03,Soybean,Maharashtra,Nashik,Quintal,3917.0,4985.0,4451.0
2024-03,Soybean,Maharashtra,Pune,Quintal,3970.0,5052.0,4511.0
2024-03,Soybean,Maharashtra,Ahmednagar,Quintal,3952.0,5030.0,4491.0
2024-03,Soybean,Maharashtra,Jalgaon,Quintal,4141.0,5271.0,4706.0
2024-03,Onion,Maharashtra,Nashik,Quintal,1350.0,1718.0,1534.0
2024-03,Onion,Maharashtra,Pune,Quintal,1455.0,1851.0,1653.0
2024-03,Onion,Maharashtra,Ahmednagar,Quintal,1898.0,2416.0,2157.0
2024-03,Onion,Maharashtra,Jalgaon,Quintal,1395.0,1775.0,1585.0
2024-03,Tomato,Maharashtra,Nashik,Quintal,1486.0,1892.0,1689.0
2024-03,Tomato,Maharashtra,Pune,Quintal,1546.0,1968.0,1757.0
2024-03,Tomato,Maharashtra,Ahmednagar,Quintal,1517.0,1931.0,1724.0
2024-03,Tomato,Maharashtra,Jalgaon,Quintal,1086.0,1382.0,1234.0
2024-03,Wheat,Maharashtra,Nashik,Quintal,2051.0,2611.0,2331.0
2024-03,Wheat,Maharashtra,Pune,Quintal,2031.0,2585.0,2308.0
2024-03,Wheat,Maharashtra,Ahmednagar,Quintal,1994.0,2538.0,2266.0
2024-03,Wheat,Maharashtra,Jalgaon,Quintal,2085.0,2653.0,2369.0
2024-03,Fodder,Maharashtra,Nashik,Quintal,305.0,389.0,347.0
2024-03,Fodder,Maharashtra,Pune,Quintal,306.0,390.0,348.0
2024-03,Fodder,Maharashtra,Ahmednagar,Quintal,304.0,388.0,346.0
2024-03,Fodder,Maharashtra,Jalgaon,Quintal,298.0,380.0,339.0
2024-03,Poultry,Maharashtra,Nashik,Kg,84.0,106.0,95.0
2024-03,Poultry,Maharashtra,Pune,Kg,90.0,114.0,102.0
2024-03,Poultry,Maharashtra,Ahmednagar,Kg,89.0,113.0,101.0
2024-03,Poultry,Maharashtra,Jalgaon,Kg,84.0,106.0,95.0
2024-03,MilkCow,Maharashtra,Nashik,Litre,33.0,41.0,37.0
2024-03,MilkCow,Maharashtra,Pune,Litre,33.0,41.0,37.0
2024-03,MilkCow,Maharashtra,Ahmednagar,Litre,33.0,41.0,37.0
2024-03,MilkCow,Maharashtra,Jalgaon,Litre,33.0,41.0,37.0
2024-04,Maize,Maharashtra,Nashik,Quintal,1965.0,2501.0,2233.0
2024-04,Maize,Maharashtra,Pune,Quintal,1940.0,2468.0,2204.0
2024-04,Maize,Maharashtra,Ahmednagar,Quintal,2023.0,2575.0,2299.0
2024-04,Maize,Maharashtra,Jalgaon,Quintal,1888.0,2402.0,2145.0
2024-04,Soybean,Maharashtra,Nashik,Quintal,4297.0,5469.0,4883.0
2024-04,Soybean,Maharashtra,Pune,Quintal,4184.0,5324.0,4754.0
2024-04,Soybean,Maharashtra,Ahmednagar,Quintal,4214.0,5364.0,4789.0
2024-04,Soybean,Maharashtra,Jalgaon,Quintal,4189.0,5331.0,4760.0
2024-04,Onion,Maharashtra,Nashik,Quintal,1883.0,2397.0,2140.0
2024-04,Onion,Maharashtra,Pune,Quintal,1491.0,1897.0,1694.0
2024-04,Onion,Maharashtra,Ahmednagar,Quintal,1426.0,1816.0,1621.0
2024-04,Onion,Maharashtra,Jalgaon,Quintal,1585.0,2017.0,1801.0
2024-04,Tomato,Maharashtra,Nashik,Quintal,1727.0,2197.0,1962.0
2024-04,Tomato,Maharashtra,Pune,Quintal,1646.0,2094.0,1870.0
2024-04,Tomato,Maharashtra,Ahmednagar,Quintal,1492.0,1898.0,1695.0
2024-04,Tomato,Maharashtra,Jalgaon,Quintal,1632.0,2076.0,1854.0
2024-04,Wheat,Maharashtra,Nashik,Quintal,2064.0,2626.0,2345.0
2024-04,Wheat,Maharashtra,Pune,Quintal,2103.0,2677.0,2390.0
2024-04,Wheat,Maharashtra,Ahmednagar,Quintal,2016.0,2566.0,2291.0
2024-04,Wheat,Maharashtra,Jalgaon,Quintal,2107.0,2681.0,2394.0
2024-04,Fodder,Maharashtra,Nashik,Quintal,308.0,392.0,350.0
2024-04,Fodder,Maharashtra,Pune,Quintal,320.0,408.0,364.0
2024-04,Fodder,Maharashtra,Ahmednagar,Quintal,311.0,395.0,353.0
2024-04,Fodder,Maharashtra,Jalgaon,Quintal,298.0,380.0,339.0
2024-04,Poultry,Maharashtra,Nashik,Kg,88.0,112.0,100.0
2024-04,Poultry,Maharashtra,Pune,Kg,82.0,104.0,93.0
2024-04,Poultry,Maharashtra,Ahmednagar,Kg,92.0,116.0,104.0
2024-04,Poultry,Maharashtra,Jalgaon,Kg,89.0,113.0,101.0
2024-04,MilkCow,Maharashtra,Nashik,Litre,33.0,41.0,37.0
2024-04,MilkCow,Maharashtra,Pune,Litre,34.0,44.0,39.0
2024-04,MilkCow,Maharashtra,Ahmednagar,Litre,33.0,43.0,38.0
2024-04,MilkCow,Maharashtra,Jalgaon,Litre,35.0,45.0,40.0
2024-05,Maize,Maharashtra,Nashik,Quintal,1936.0,2464.0,2200.0
2024-05,Maize,Maharashtra,Pune,Quintal,1889.0,2405.0,2147.0
2024-05,Maize,Maharashtra,Ahmednagar,Quintal,1940.0,2470.0,2205.0
2024-05,Maize,Maharashtra,Jalgaon,Quintal,1977.0,2517.0,2247.0
2024-05,Soybean,Maharashtra,Nashik,Quintal,3866.0,4920.0,4393.0
2024-05,Soybean,Maharashtra,Pune,Quintal,4199.0,5345.0,4772.0
2024-05,Soybean,Maharashtra,Ahmednagar,Quintal,3869.0,4925.0,4397.0
2024-05,Soybean,Maharashtra,Jalgaon,Quintal,3874.0,4930.0,4402.0
2024-05,Onion,Maharashtra,Nashik,Quintal,1518.0,1932.0,1725.0
2024-05,Onion,Maharashtra,Pune,Quintal,1708.0,2174.0,1941.0
2024-05,Onion,Maharashtra,Ahmednagar,Quintal,1713.0,2181.0,1947.0
2024-05,Onion,Maharashtra,Jalgaon,Quintal,1309.0,1665.0,1487.0
2024-05,Tomato,Maharashtra,Nashik,Quintal,1407.0,1791.0,1599.0
2024-05,Tomato,Maharashtra,Pune,Quintal,1228.0,1562.0,1395.0
2024-05,Tomato,Maharashtra,Ahmednagar,Quintal,1250.0,1592.0,1421.0
2024-05,Tomato,Maharashtra,Jalgaon,Quintal,1133.0,1443.0,1288.0
2024-05,Wheat,Maharashtra,Nashik,Quintal,2025.0,2577.0,2301.0
2024-05,Wheat,Maharashtra,Pune,Quintal,1992.0,2536.0,2264.0
2024-05,Wheat,Maharashtra,Ahmednagar,Quintal,1977.0,2517.0,2247.0
2024-05,Wheat,Maharashtra,Jalgaon,Quintal,2045.0,2603.0,2324.0
2024-05,Fodder,Maharashtra,Nashik,Quintal,319.0,405.0,362.0
2024-05,Fodder,Maharashtra,Pune,Quintal,327.0,417.0,372.0
2024-05,Fodder,Maharashtra,Ahmednagar,Quintal,319.0,407.0,363.0
2024-05,Fodder,Maharashtra,Jalgaon,Quintal,311.0,395.0,353.0
2024-05,Poultry,Maharashtra,Nashik,Kg,82.0,104.0,93.0
2024-05,Poultry,Maharashtra,Pune,Kg,80.0,102.0,91.0
2024-05,Poultry,Maharashtra,Ahmednagar,Kg,78.0,100.0,89.0
2024-05,Poultry,Maharashtra,Jalgaon,Kg,82.0,104.0,93.0
2024-05,MilkCow,Maharashtra,Nashik,Litre,34.0,44.0,39.0
2024-05,MilkCow,Maharashtra,Pune,Litre,33.0,43.0,38.0
2024-05,MilkCow,Maharashtra,Ahmednagar,Litre,33.0,43.0,38.0
2024-05,MilkCow,Maharashtra,Jalgaon,Litre,35.0,45.0,40.0
2024-06,Maize,Maharashtra,Nashik,Quintal,1952.0,2484.0,2218.0
2024-06,Maize,Maharashtra,Pune,Quintal,2008.0,2556.0,2282.0
2024-06,Maize,Maharashtra,Ahmednagar,Quintal,1942.0,2472.0,2207.0
2024-06,Maize,Maharashtra,Jalgaon,Quintal,1965.0,2501.0,2233.0
2024-06,Soybean,Maharashtra,Nashik,Quintal,4433.0,5643.0,5038.0
2024-06,Soybean,Maharashtra,Pune,Quintal,4139.0,5267.0,4703.0
2024-06,Soybean,Maharashtra,Ahmednagar,Quintal,3974.0,5058.0,4516.0
2024-06,Soybean,Maharashtra,Jalgaon,Quintal,4217.0,5367.0,4792.0
2024-06,Onion,Maharashtra,Nashik,Quintal,1780.0,2266.0,2023.0
2024-06,Onion,Maharashtra,Pune,Quintal,1498.0,1906.0,1702.0
2024-06,Onion,Maharashtra,Ahmednagar,Quintal,1718.0,2186.0,1952.0
2024-06,Onion,Maharashtra,Jalgaon,Quintal,1300.0,1654.0,1477.0
2024-06,Tomato,Maharashtra,Nashik,Quintal,1733.0,2205.0,1969.0
2024-06,Tomato,Maharashtra,Pune,Quintal,1323.0,1683.0,1503.0
2024-06,Tomato,Maharashtra,Ahmednagar,Quintal,1727.0,2197.0,1962.0
